user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_recall
What is the scope of the Code of Practice for Research Degrees?,"['8A Code of Practice for Research Degrees 202 4-25 Policy, Procedure and Guidelines 1 Owner: Version number: Date of approval: Approved by: Effective date: Date of last review: Due for review: The Docto ral College 19 July 2024 Education Committee 1 Aug ust 2024 June 2023 June 2025 This document is part of a revised series of Academic Regulations, Policies and Procedures which govern the University’s academic provision. Each document has a unique document number to indicate which Section of the series it belongs to. 8A Code of Practice for Research Degrees (Policy, Procedure and Guidelines) Academic Year 202 4-25', 'examination. 5.4 In the event of an adverse outcome, the chair should ensure that the PGR is not left unsupported and that they have access to appropriate guidance. Acknowledgements This Code of Practice for Research Degrees has been written taking account of University rules and regulations, the QAA Quality Code and best practice disseminated through UKCGE, Vitae and other HEIs. 8A –Code of Practice for Research Degrees 91 Policy, Procedure and Guidelines', 'Dorset BH12 5BB 8A Code of Practice for Research Degrees 202 4-25 Policy, Procedure and Guidelines 3 TABLE OF CONTENTS TABLE OF CONTENTS ................................ ................................ ................................ ................................ ................................ ............. 3 1 INTRODUCTION ................................ ................................ ................................ ................................ ............................. 7 1.1 SCOPE AND PURPOSE ................................ ................................ ................................ ................................ ............................. 7 1.2 KEY RESPONSIBILITIES ................................ ................................ ................................ ................................ .......................... 7 1.3 RELATED BU DOCUMENTS & POLICIES ................................ ................................ ................................ ........................... 7 1.3.1. BU Academic Regulations, Policies and Procedures ................................ ................................ ................................ .. 7 1.3.2. Equality and Diversity ................................ ................................ ................................ ................................ ......................... 8 1.4 RESEARCH DEGREE AWARDS OF THE UNIVERSITY ................................ ................................ ................................', '88 Acknowledgements ................................ ................................ ................................ ................................ ................................ ............... 90 8A Code of Practice for Research Degrees 202 4-25 Policy, Procedure and Guidelines 7 1 INTRODUCTION 1.1 SCOPE AND PURPOSE This Code of Practice for Research Degrees (CoP) is the principal guide for those involved with postgraduate research at Bournemouth University (BU). This includes Postgraduate Research students (PGRs) and all staff involved in the provision of postgraduate research degrees, including supervision, administration, assessment and examination. It sets out BU’s policy, procedure and guidelines relating to research degrees. All those involved with research degrees must make themselves familiar with all the relevant', 'be provided in line with eligibility requirements for supervisors and their roles and responsibilities aligned to supervisors of conventional research degrees. 8A Code of Practice for Research Degrees 202 4-25 Policy, Procedure and Guidelines 51 The differing needs of PGRs beginning programmes of practice -led research must also be considered. As such, it is important that supervisor/PGR relations allow time to define the specific issues raised by practice -led research in the specific area of enquiry, to establish a shared vocabulary, to identify what is invariant in practice and to initiate the PGR into the practice/research debate. For example, in']","The scope of the Code of Practice for Research Degrees (CoP) includes providing guidelines for all those involved in postgraduate research at Bournemouth University (BU), which encompasses Postgraduate Research students (PGRs) and staff responsible for supervision, administration, assessment, and examination of research degrees. It outlines BU's policies, procedures, and guidelines related to research degrees.","The Code outlines policies and procedures for postgraduate research degrees at BU, ensuring consistency, quality, and regular updates to reflect best practices across all stages of the research journey.",1.0,0.9268646405179268,1.0
Who is responsible for drafting policies related to research degrees?,"['College and University’s Research Degrees Committee (RDC), in consultation with Academic Quality. Implementation of these policies and procedures is the responsibility of the faculties and is monitored by the Doctoral College. Other administrative and quality assurance responsibilities for research degrees also lie with the Faculties, the Doctoral College and Academic Quality. 1.3 RELATED BU DOCUMENTS & POLICIES 1.3.1. BU Academic Regulations, Policies and Procedures This document is part of BU’s Academic Regulations, Policies and Procedures (ARPPs) which govern the University’s academic provision. Other documents with direct relevance to this CoP are: • 2A Awards of Bournemouth University: Polic y •', 'to continuously improve the research degree experience. All those involved in research degrees must abide by the current CoP at all times. BU is committed to providing support as outlined in this CoP. All PGRs will be allocated with a supervisory team throughout their research degree, provided BU has the appropriate subject knowledge and capacity within the current academic staff base. 1.2 KEY RESPONSIBILITIES Responsibility for drafting and reviewing policies and procedures for research degrees as set out in this CoP lies with the Doctoral College and University’s Research Degrees Committee (RDC), in consultation with Academic Quality. Implementation of these', 'degrees. All those involved with research degrees must make themselves familiar with all the relevant regulations, policies, procedures and guidelines . It aims to: • ensure that PGRs and staff have a common understanding of their respective roles and responsibilities • set out policies and procedures which protect the academic standards of BU’s research degrees • set out the processes involved in all stages of a research degree. The CoP is revised annually to reflect changes in BU policy and national guidelines and in order to continuously improve the research degree experience. All those involved in research degrees must abide', 'PGRs, Supervisors & DDs Admissions & Awards Responding to research degree enquiries Administration of research degree admissions Administration of research degree examinations Administration of research degree awards Research Degree Policy* Review & development of research degree regulations, policies and procedures Implementation of policies Reporting on research degree data and monitoring of performance 8A Code of Practice for Research Degrees 202 4-25 Policy, Procedure and Guidelines 11 Email bordar@bournemouth.ac.uk for any queries relating to managing or depositing research data. •BUBSlibteam@bournemouth.ac.uk •FMClibteam@bournemouth.ac.uk •SciTechlibteam@bournemouth.ac.uk Students’ Union SUBU represents and provides services to all students at BU. Union membership is automatic and free, and', 'Research Degrees 202 4-25 Policy, Procedure and Guidelines 78 4.1 To ensure coherency and consistency in the employment of PGRs and implementation of good practice outlined in these guidance notes, each faculty should have a nominated person with responsibility for overseeing PGR teaching activity. 4.2 They will be responsible for the: i) oversight and management of the recruitment, training and monitoring of PGRs ii) allocation of their teaching duties iii) allocation of experienced mentors iv) monitoring of their suitability to teach and identification of further training needs. 4.3 This oversight within Faculties will improve the ability to monitor and regulate']","The responsibility for drafting policies related to research degrees lies with the Doctoral College and the University’s Research Degrees Committee (RDC), in consultation with Academic Quality.","The Doctoral College and Research Degrees Committee draft these policies in consultation with Academic Quality, involving ongoing review to incorporate improvements and ensure alignment with current standards.",0.3333333333333333,0.9999999999999999,1.0
What ethical guidelines must researchers follow?,"['line with the documents reviewed, it will be deemed ethical. The Online Ethics Checklist is managed by Research Development & Support. If planning research overseas you should determine whether a formal ethics review is required in the country you are visiting. Further information can be found on the Research Governance & Integrity website (see General Information ‘other useful documents and external resources’). For PGRs seeking to conduct research with the National Health Service, it is important to ensure that you go through the appropriate ethics review process. Further information can be found on the Research Governance & Integrity website (Clinical', 'Practice . BU requires that all research, as defined in the RECP, is subject to appropriate ethical reflection, leading if necessary to a formal ethics review via the online ethics checklist . Where appropriate, data collection activities should not commence until a favourable opinion has been issued from the appropriate Reviewer (Ethics Champion for low -risk projects or a central Research Ethics Panel for high -risk projects) and your ethics checklist approved online. A favourable opinion provides assurance that if the research is conducted in line with the documents reviewed, it will be deemed ethical. The Online Ethics Checklist is', 'should be continually revised and updated as necessary. Practical guidance can be found here: Research Data Management: RDM LibGuide . All PGRs are required to complete the following Ethics e -module(s): •Becoming an Ethical Researcher •Research Ethics in Practice. For details on how to access the e -learning modules, please visit Brightspace. 6.3 RESEARCH INTEGRITY PGRs are required to familiarise themselves with the Concordat to Support Research Integrity . The Concordat provides a framework in which to conduct research and adopting these standards allows others to have trust and confidence in the methods used and in the findings that result', ""to have trust and confidence in the methods used and in the findings that result from this. PGR’s responsibilities as a 8A Code of Practice for Research Degrees 202 4-25 Policy, Procedure and Guidelines 25 researcher are as outlined on the research governance & integrity website . To meet the professional standards expected from our researchers, PGRs should apply the five core elements of research integrity - see 'maintaining the highest standards of research integrity '. 6.4 DATA PROTECTION LEGISLATION The Data Protection Legislation regulates the use of personal data and sets requirements for protecting it. IT seeks to balance""]","Researchers must follow the Online Ethics Checklist managed by Research Development & Support, conduct a formal ethics review if required, especially for research involving the National Health Service, and ensure that data collection activities do not commence until a favorable opinion is issued. They are also required to complete specific Ethics e-modules, familiarize themselves with the Concordat to Support Research Integrity, adhere to the five core elements of research integrity, and comply with Data Protection Legislation regarding personal data.","Researchers must follow the BU Research Ethics Code of Practice, complete ethics training modules, and ensure timely ethical approval, especially for NHS-related research, to avoid delays in milestones or submission.",1.0,0.9511685708286585,0.75
What is the role of a supervisory team in research degrees?,"['may be part of a supervisory team where they bring expertise that is not available elsewhere. In such cases, the individual may not the first supervisor and there should be no other conflicts of interest. 4.3 SUPERVISORY ROLES & RESPONSIBILITIES The responsibilities of the supervisory team are to: •undertake regular supervisory development to enhance supervisory skills and knowledge and maintain sufficient knowledge of the research area and research skills •be accountable for reporting on progression of their PGRs to the Faculty Research Degrees Committee (FRDC) and to raise any issues •understand the regulatory framework underpinning postgraduate research at BU and', 'intrinsically linked to a specific project and cannot be removed from the supervisory team. 4.5 SUPERVISORY DEVELOPMENT All supervisors are required to engage in continuing professional development by undertaking supervisory development activities every 3 years. Working closely with the Faculties, the Doctoral College provides a number of supervisory development opportunities which are reviewed regularly to ensure they meet the needs of supervisors and reflect the shifting challenges in the research degree environment. It is mandatory that all those new to research degree supervision engage in the one -day New Supervisor Development session normally prior to joining a supervisory team to:', 'successfully supervised at the appropriate level from enrolment through to completion or one entire research degree cycle (at any HEI) •will have expertise in the relevant subject or discipline area of research and knowledge of those methodologies and skills required for the research •may also include an external supervisor as a subject or methodology specialist, but not as the first supervisor. This is of particular relevance for Professional Doctorates where the additional input of Professional Practice experience is required •may include a member of visiting academic staff, however, their eligibility to supervise should be discussed with their DD(R) •will engage', 'academic staff, however, their eligibility to supervise should be discussed with their DD(R) •will engage in supervisory development every 3 years. In appointing supervisory teams, the faculty should be mindful of the diversity, equality, and inclusivity balance of individual teams, where possible, and across the department and faculty as whole. Supervisors are not normally expected to supervise more than 6 full -time PGRs, or equivalent, as the first supervisor. 4.2 SUPERVISORY CONFLICTS OF INTEREST All supervisors, both internal and external, have a duty to make an appropriate declaration where there are personal conflicts of interest with other members of the', 'with their supervisory team. To enable PGRs to maintain reasonable progress throughout their research programme, the supervisory team will: • agree clear objectives with the PGRs and the timeline for progression after each meeting 8A Code of Practice for Research Degrees 202 4-25 Policy, Procedure and Guidelines 20 •return submitted written work with feedback (provided the work is legible and delivered on time) for discussion at the next meeting •provide constructive comments on both technical details and writing style for written work, including the formal draft of the thesis •ensure the PGR is made aware, in writing, of inadequate progress']","The role of a supervisory team in research degrees includes undertaking regular supervisory development to enhance skills and knowledge, being accountable for reporting on the progression of postgraduate researchers (PGRs), understanding the regulatory framework of postgraduate research, engaging with the PGRs to set clear objectives and timelines, providing feedback on written work, and ensuring the PGR is informed about inadequate progress. Additionally, the team may include experts outside the immediate department to cover specific methodologies or subject areas.","Supervisors guide research progress, ensure regular engagement recorded on ProGRess, support timely thesis submission, and address challenges like external supervisors or student non-compliance, which can impact submission quality.",1.0,0.9772852324559794,0.75
What is the process for submitting a thesis for examination?,"['............................ 63 12.1.2. Thesis Title ................................ ................................ ................................ ................................ ................................ ........... 63 12.1.3. Submission ................................ ................................ ................................ ................................ ................................ ........... 63 12.2 ARRANGEMENTS FOR THE EXAMINATION ................................ ................................ ................................ .................... 63 12.3 EXAMINATION OF THE THESIS ................................ ................................ ................................ ................................ .......... 64 12.3.1. The Examination Procedure ................................ ................................ ................................ ................................ ............ 64 12.3.4. Disagreement Between the Examiners ................................ ................................ ................................ ........................ 66 12.4 THE OUTCOME OF THE EXAMINATION ................................ ................................ ................................ .......................... 67 12.4.1. Examiners’ Recommendations ................................ ................................ ................................ ................................ ........ 67 12.4.2. Process for Corrections and Amendments ................................ ................................ ................................ .................. 69 12.4.3. Process for Resubmission and Re-Examination ................................', 'published and in the public domain, examiners are able to ask for modifications or more detailed analysis to be included in the accompanying supporting material and any unpublished papers. 10.9.6. Presentation of the Final Thesis Please note that, due to copyright restrictions, the digital copy of the final version of the thesis must not contain publishers’ versions of articles. The process of submitting an integrated thesis follows the same steps as described in Section 12.1, with the additional steps outlined below: 8A Code of Practice for Research Degrees 202 4-25 Policy, Procedure and Guidelines 49 • PGRs must complete section', ""proposed examination date: •one electronic copy in PDF format of the thesis, including the abstract, and a completed copy of the PGR's Declaration on ProGRess. In cases where a PGR has outstanding debt, they may be examined but no award will be made until the debt is settled. 12.2 ARRANGEMENTS FOR THE EXAMINATION Every effort will be made to ensure timely arrangement of the viva voce examination following formal approval of the examination arrangements, but this is dependent on several factors: 8A Code of Practice for Research Degrees 202 4-25 Policy, Procedure and Guidelines 64 • scheduling of the viva"", 'Policy and Procedure for Research Awards . 12.7 SUBMISSION OF FINAL THESIS AND RESEARCH DATA 12.7.1. Final Thesis Submission As stated in Section 12.4.2, no award will be confirmed until the following have been submitted to the University, which should take place within one month of examiner approval of corrections: •one electronic copy, which will be submitted to the institutional repository, BURO and the British Library theses service, EThOS. Please note that any third -party material included within a thesis will be checked against copyright regulations before the thesis can be made available digitally. The relevant Faculty Library Team are', '................................ ................................ ................................ ................................ ...................... 60 11.6.6. Nature and Quantity of Publications or Creative/Performance Works ................................ ............................... 60 11.6.7. Full Submission, including Supporting Synthesis ................................ ................................ ................................ ..... 60 11.6.8. Assessment ................................ ................................ ................................ ................................ ................................ ........... 61 11.6.9. Outcomes of the Viva Voce Examination ................................ ................................ ................................ .................... 62 11.6.10. Fees ................................ ................................ ................................ ................................ ................................ ......................... 62 12 EXAMINATION AND COMPLETION ................................ ................................ ................................ ............................ 63 12.1 THESIS SUBMISSION ................................ ................................ ................................ ................................ ............................. 63 12.1.1. Intention to Submit ................................ ................................ ................................ ................................ ............................ 63 12.1.2. Thesis Title ................................ ................................ ................................ ................................ ................................ ........... 63 12.1.3. Submission ................................']","The process for submitting a thesis for examination requires the following steps:

1. **Intention to Submit**: The postgraduate research student (PGR) must declare their intention to submit the thesis.
2. **Thesis Title**: The title of the thesis must be specified.
3. **Submission of Thesis**: The PGR must provide one electronic copy in PDF format of the thesis, including the abstract, along with a completed Declaration on Progress.
4. **Outstanding Debts**: The PGR can be examined even if they have outstanding debts, but no award will be granted until the debt is settled.
5. **Examination Arrangements**: After submission, arrangements for the viva voce examination will be made, dependent on various factors including scheduling.
6. **Final Thesis Submission**: Within one month of examiner approval for any corrections, the PGR must submit one electronic copy for the institutional repository and the British Library’s EThOS service, ensuring compliance with copyright regulations regarding third-party materials. 

These steps ensure that the thesis is submitted correctly for examination and that all necessary documentation is provided.","A thesis must be submitted electronically via ProGRess, followed by a viva voce examination, with delays possible if examiner nominations are not completed in advance as per the process.",1.0,0.981768287597684,0.6666666666666666
What is the timeline for completing a PhD?,"['10.3 PHD TIMELINE The key stages and expected timeline for a traditional PhD research degree are outlined below: Probationary Review (+ 3 months FT/ 6 months PT) Section 10.4 Major Review (+14 months FT/28 months PT) Section 10.6 Annual Review / Re -Enrolment (May/June annually) Section 7.5 Intention to Submit Thesis (~3 months before Submission) Section 12.1.1 Re-submission Section 12.4.3 Thesis Submission ( +36 months FT / 72 months PT) Section 12.1.3 Viva Voce Examination (asap after Thesis Submission) Section 12.3 Corrections / Amendments Section 12.4.2 Ratification of Award Section 12.8 Final thesis submitted to Library Section 12.7 Conferment &', '(Section 10.3), are set out below: Milestone Expected CAD Timeline Refer to: Enrolment & Induction Day 1 Section 7.0 Probationary Review 3 months FT Section 10.4 Annual Review May annually Section 10.5 Major Review 18 months FT Section 10.6 Intention to Submit 3 months prior to submission Section 12.2.1 Thesis Submission 48 months FT Section 12.2.3 Viva Voce Examination Asap after thesis submission Section 12.6 Completion 60 months FT Section 12.10 & 12.11 Clinical Academic Doctorate students will be provided with a personalised timeline by their PGRA. 11.4.4. Specific Contractual agreements for Clinical Academic Doctorates In addition to the Student', 'months FT Section 10.4 Annual Review May annually Section 10.5 Major Review 14 months FT Section 10.6 Intention to Submit 3 months prior to submission Section 12.2.1 Thesis Submission 48 months FT Section 12.2.3 Viva Voce Examination Asap after thesis submission Section 12.6 Completion 60 months FT Section 12.10 & 12.11 UKRI funded Doctoral departmental students will be provided with a personalised timeline by their PGRA. 11.6 PHD BY PUBLICATION 11.6.1. Scope and Purpose This section provides members of staff at BU with information, guidance and advice on the PhD by Publication It is important that those undertaking a PhD', 'Part-time MRes 8 months 16 months 10 months 20 months MPhil 16 months 22 months 18 months 24 months PhD 33 months 69 months 36 months 72 months Completing the Intention to Submit form will trigger the formal nomination and approval of the examination team so that arrangements for the viva voce examination can be made. The PGR should also check the requirements for formatting of the thesis for examination with their supervisory team or PGRAs. A PGR who has exceeded their maximum period of enrolment, or will do prior to submission and examination, will need to request an extension']","The expected timeline for completing a traditional PhD is as follows:

- **Enrolment & Induction:** Day 1 
- **Probationary Review:** 3 months (FT)
- **Annual Review:** May annually
- **Major Review:** 18 months (FT)
- **Intention to Submit Thesis:** 3 months prior to submission
- **Thesis Submission:** 48 months (FT)
- **Viva Voce Examination:** ASAP after thesis submission
- **Completion:** 60 months (FT) 

Note that the timeline may vary for part-time students, potentially extending up to 72 months.","PhD students have 36 months (full-time) for submission and up to 48 months for completion, though many take the full 48 months due to continuation status, part-time transitions, publication expectations, or delays in ethics approval.",0.9,0.9524401525109889,0.5
What distinguishes practice-led research from other research types?,"['of their practice, but this research is very often focussed on realising a specific practical goal without communicating the findings of the research to others. In some areas of traditional research, the aim is similarly to meet a specific practical objective. The distinctive nature of practice -led research is however that the researcher’s practice is fundamental to the journey of investigation with the aim of rendering significant aspects of the practice process communicable to add to humanity’s shared knowledge and understanding. The practice -led research degree must: • define a series of research questions or problems that will be addressed', 'parity of standards. 10.10.2. Principles of Practice -Led Research Practice -led research is defined by the process undertaken and not by the form of the finished element. The goal of all research is to add to the store of knowledge and understanding. Practice -led research is a proven method of inquiry in which the contribution to knowledge and understanding is embedded in practice. There is a fundamental difference between “practice” and “practice undertaken as part of a research programme”. Most practitioners undertake research as part of their practice, but this research is very often focussed on realising a specific practical', 'answer the research questions. Contributions of practice -led research may include: • the realisation of new design solutions • aesthetic development • new subject specific methods or techniques • generic methodological innovation • new understanding of practice -led processes • new models of practice • new theoretical development • new critical positioning of praxis • new knowledge that could only have been created through practice. 10.10.3. Mode of Learning The following practice -led research degrees are awarded to PGRs who successfully complete the following approved programmes of supervised research, on a full or part -time basis, at BU: “Practice -Led”', 'separates it from conventional research approaches. BU recognises that while the outcomes of practice -led research can parallel the range of outcomes found in many different academic approaches, the presentation of those outcomes differentiate practice -led research from other approaches. As such, the outcome (or thesis) is defined as a practical element and an exegesis, which addresses, elucidates and contextualises the work, and which will be examined as an integrated whole. BU also recognises that the nature of the practice -led research may require flexibility in the approach to monitoring, progression and examination and this section sets out to clarify', 'practice’ and/or the ‘necessity for practice’ that are informing the project and outline the larger theoretical landscapes which inform the practice •the methodology or practicalities behind the practice -led research project - account for the broad paradigms (cultural, aesthetic or philosophical frameworks) that are informing both the research and the researcher, explain the techniques and strategies of practice used to document research •any collaboration - explain what IP and copyright arrangements are in place, representing and reporting knowledge claims – balancing the practice -led output with the exegesis •the costing of the practice -led research project - provide an approximate']","Practice-led research is distinguished from other research types by its emphasis on the researcher's practice as fundamental to the investigative process, aiming to communicate significant aspects of that practice to contribute to shared knowledge and understanding. While other research often focuses on achieving specific practical goals, practice-led research integrates the practice itself into the research methodology and outcomes, which include practical elements and an accompanying exegesis that contextualizes the work. This approach allows for unique contributions, such as new design solutions, methods, or theoretical developments, that can only be created through practice.","Practice-led research involves practical outputs such as performances or designs, supported by a critical written exegesis that contextualizes the practice and demonstrates its contribution to knowledge.",1.0,0.9981899748171452,1.0
What is the structure of a Doctor of Education (EdD)?,"['build toward a c. 60 -80,000 -word thesis (or practice -based equivalent), the submission of which is followed by a viva voce examination. The Doctor of Education Creative and Media (EdD) at BU would normally take between four and six years part-time to complete. Continuation fees will be applied after year 4 (see Section 10.7). 11.2.2. Transition Assignment Students who have undertaken taught elements of an EdD at another institution may apply to begin the programme at the half -way point of the taught phase, subject to the satisfactory submission of a transition assignment, or evidence of other prior learning', '•Clinical Academic Doctorate •UKRI Funded Doctorates •Doctor of Philosophy (PhD) by Publication. 11.1.1. Doctor of Education (EdD) The standard of a Doctor of Education (EdD) is that expected of a graduate who has satisfactorily completed a programme of study which includes the critical investigation and evaluation of an approved pedagogic -centred or professional practice topic resulting in a fundamental advance in pedagogic theory and/or practice and who has demonstrated an understanding of appropriate research methods and has presented and defended a thesis and/or other practical elements, by oral examination, to the satisfaction of the examiners. BU currently offers one Doctor', 'subject to the satisfactory submission of a transition assignment, or evidence of other prior learning as agreed by the Programme Lead. See the Doctor of Education Creative and Media (EdD) Specification and Handbook. 11.2.3. Other Related Documents Those registered on the EdD should also refer to the Doctor of Education Creative and Media Specification and Handbook for additional information. 11.3 DOCTOR OF ENGINEERING DIGITAL MEDIA (ENGD) AND DOCTOR OF PROFESSIONAL PRACTICE DIGITAL MEDIA (DPROF) 11.3.1. Background The Doctor of Engineering Digital Media (EngD) and Doctor of Professional Practice Digital Media (DProf) are collaborative programmes enabling industry -focused research and development', 'doctorate sits within the Centre for Excellence in Media Practice (CEMP) in the Faculty of Media & Communication. Doctoral students all receive individual supervision by active researchers in the field of creative and media education, and the programme is delivered online and supported by two 2 -day virtual conferences a year in October and June and a one -day virtual workshop in February. The EdD programme is structured into two phases of study, a two -year taught phase and a two -to-four-year supervised phase, which build toward a c. 60 -80,000 -word thesis (or practice -based equivalent), the submission of', '................................ ......... 54 11.2 DOCTOR OF EDUCATION CREATIVE AND MEDIA (EdD) ................................ ................................ ............................ 54 11.2.1. Background ................................ ................................ ................................ ................................ ................................ ........... 54 11.2.2. Transition Assignment ................................ ................................ ................................ ................................ ...................... 55 11.2.3. Other Related Documents ................................ ................................ ................................ ................................ ................ 55 11.3 DOCTOR OF ENGINEERING DIGITAL MEDIA (ENGD) AND DOCTOR OF PROFESSIONAL PRACTICE DIGITAL MEDIA (DPROF) ................................ ................................ ................................ ................................ ...................... 55 11.3.1. Background ................................ ................................ ................................ ................................ ................................ ........... 55 11.3.2. Related Documents ................................ ................................ ................................ ................................ ............................ 55 11.4 CLINICAL ACADEMIC DOCTORATES (CAD) ................................ ................................ ................................ .................... 55 11.4.1. Background ................................ ................................ ................................ ................................ ................................ ...........']","The structure of a Doctor of Education (EdD) program consists of two phases: a two-year taught phase followed by a supervised phase lasting two to four years. This culminates in the submission of a thesis (or practice-based equivalent) of approximately 60,000 to 80,000 words, along with an oral examination (viva voce).","The EdD comprises a two-year taught phase with coursework, followed by supervised research culminating in a thesis or practical equivalent, balancing academic and professional educational practice.",1.0,0.9862178152251486,0.5
What documents are required for final thesis submission?,"['published and in the public domain, examiners are able to ask for modifications or more detailed analysis to be included in the accompanying supporting material and any unpublished papers. 10.9.6. Presentation of the Final Thesis Please note that, due to copyright restrictions, the digital copy of the final version of the thesis must not contain publishers’ versions of articles. The process of submitting an integrated thesis follows the same steps as described in Section 12.1, with the additional steps outlined below: 8A Code of Practice for Research Degrees 202 4-25 Policy, Procedure and Guidelines 49 • PGRs must complete section', 'Policy and Procedure for Research Awards . 12.7 SUBMISSION OF FINAL THESIS AND RESEARCH DATA 12.7.1. Final Thesis Submission As stated in Section 12.4.2, no award will be confirmed until the following have been submitted to the University, which should take place within one month of examiner approval of corrections: •one electronic copy, which will be submitted to the institutional repository, BURO and the British Library theses service, EThOS. Please note that any third -party material included within a thesis will be checked against copyright regulations before the thesis can be made available digitally. The relevant Faculty Library Team are', 'though the practical element of the thesis may be temporary or transitory in nature, good quality documentation of the completed practical element must be included in the submission. This documentation should be appropriate to the nature of the practical element and the form, quantity and quality should have been discussed and agreed with supervisors at appropriate times in the research degree journey. The body of original work shall be documented together with any necessary textual material, including labels or notes of explanation written in English. The documentation must be in permanent form and shall be to a standard whereby a', 'indicate clearly the PGRs individual contribution and the extent of the collaboration. 13.2 PRESENTATION OF THE FINAL ELECTRONIC THESIS The first supervisor must confirm the contents of the electronic thesis are identical with the version submitted for examination, except where amendments have been made to meet the requirements of the examiners. Where corrections or amendments have been made the year of submission shall be the original year of submission and where a re -submission is required this shall be the year of re-submission. 8A Code of Practice for Research Degrees 202 4-25 Policy, Procedure and Guidelines 77 14 APPENDICES 14.1', 'included. It should include: •a PDF version (for uploading to the BURO and EThOS) •any supplementary data required for assessment. Datasets should be supported by good accompanying documentation which is appropriate to the subject discipline. 12.7.4. Restricted Access In cases of confidentiality, and with the agreement of the faculty Executive Dean, the thesis may be held by the University on restricted access (available only to those who were directly involved in the project) for a period not exceeding 2 years from conferment (i.e., the date of the award letter). Restriction may be extended to a maximum of 5 years commencing']","For final thesis submission, the following documents are required:

1. One electronic copy of the thesis, which will be submitted to the institutional repository (BURO) and the British Library theses service (EThOS).
2. Good quality documentation of the completed practical element of the thesis.
3. Any supplementary data required for assessment, supported by appropriate documentation.
4. Confirmation from the first supervisor that the electronic thesis contents are identical to the examination version, except for any amendments required by the examiners. 

Additionally, any third-party material included must comply with copyright regulations.","Final thesis submission requires electronic copies of the thesis and a Deposit of Thesis form submitted to the library within one month, with potential delays in library review depending on the time of year.",1.0,0.9999999999999994,0.5
Who owns the intellectual property generated during research?,"['project with an external partner or the project is being funded by a third party. Other examples include if you are working in a University supported commercialisation programme or your ideas have been created in collaboration with a member of staff. In these cases, BU may require you to assign the IP you generate to BU. The University will normally collaborate with you and agree to share any benefits deriving from any exploitation of the IP with you. 8A Code of Practice for Research Degrees 202 4-25 Policy, Procedure and Guidelines 27 BU does not automatically take ownership of intellectual', 'and any faculty -specific requirements with their supervisory team. Details of support for students can be found on the Health and Wellbeing webpages. 6.10 INTELLECTUAL PROPERTY The Intellectual Property note for students states that: Like all Universities, BU has an Intellectual Property Policy which sets out who owns what. This confirms that PGRs will normally own the IP they create during their studies or research. However, there will be some circumstances where this is not the case such as if you are collaborating on a project with an external partner or the project is being funded by a third party.', '202 4-25 Policy, Procedure and Guidelines 27 BU does not automatically take ownership of intellectual property that PGRs create as part of their research. However, in some circumstances, BU will need PGRs to transfer intellectual property to BU or a third party. This will sometimes be necessary before PGRs can participate in a specific project, for example if a third party is funding research or other work. Further information is provided in the Intellectual Property Policy . 8A Code of Practice for Research Degrees 202 4-25 Policy, Procedure and Guidelines 28 7 GETTING STARTED & ENROLMENT 7.1 REGISTRATION PGRs must']","Typically, postgraduate researchers (PGRs) own the intellectual property (IP) they create during their studies or research at Bournemouth University (BU). However, if the research involves collaboration with an external partner or is funded by a third party, BU may require the transfer of ownership of the IP to the university or a third party.","PGRs typically own the IP they create, but exceptions apply for collaborative or funded projects where IP ownership is agreed upon during admissions, which may require careful review to ensure clarity.",1.0,0.0,0.5
